ID,r_value,g_value,b_value,Y_value,Cb_value,Cr_value,H_value,S_value,V_value,L_value,A_value,B_value,Class
664,188.8389216,137.6025718,106.4215439,149.3847294,103.7896487,156.1887994,11.25573849,113.6227617,188.8389216,156.868245,143.8605536,152.5562633,0
1021,160.8847373,121.7848207,101.7928274,131.1884904,111.4165138,149.2061718,9.9441201,95.6940784,160.8847373,138.4999166,140.5844871,144.9431193,0
565,137.5840871,103.2796751,91.79472032,112.2047259,116.4024368,146.0906406,7.605685804,86.91360532,137.5840871,119.1947572,140.1242385,139.8814842,0
752,159.637813,113.8661182,94.64210833,125.3780577,110.6744321,152.4796884,8.811662784,106.0415696,159.637813,132.616555,143.5880169,145.8887595,0
840,166.1789088,122.0536216,101.824751,132.9387182,110.4528045,151.743042,9.441654609,99.35654098,166.1789088,140.3453911,142.4917865,145.8334326,0
3,165.6582278,107.8580105,86.96464646,122.7682521,107.8108937,158.6363636,8.01866769,122.4058944,165.6582278,130.5926352,148.708669,149.3656182,1
1034,184.0303323,130.4056695,118.1901369,145.0499771,112.8476767,155.8411624,5.594584966,92.47534226,184.0303323,151.4839941,147.0821925,142.9553158,0
1057,140.6527321,99.50329164,84.89203423,110.1474654,113.714944,149.7755102,8.195852535,105.2636603,140.6527321,117.2995392,142.8851218,143.3008558,0
1089,172.9456639,131.6561171,103.9184958,140.8554251,107.176961,150.9322784,12.0238784,104.2712268,172.9456639,148.4185809,140.2525665,149.2252283,0
719,152.4945472,98.95434468,85.37087128,113.4121096,112.1649533,155.9213149,6.002697104,113.7609741,152.4945472,120.3637963,148.0146191,144.6792401,0
716,151.6802613,96.84583925,84.90428855,111.8929849,112.7635899,156.4207895,5.477989208,113.2451576,151.6802613,119.0945754,148.8170974,144.1280318,0
123,153.1185031,107.538115,82.3042273,118.2886348,107.7189882,152.8887734,10.4982675,118.7605683,153.1185031,126.2037422,143.0686071,149.3974359,1
611,123.0603168,87.06302886,66.57930137,95.48492081,111.682903,147.7370362,10.92948579,119.7469082,123.0603168,102.6742243,140.2088305,145.8915166,0
753,191.8272009,137.7104236,114.083252,151.2229651,107.0749073,157.0180558,9.064512981,105.1457642,191.8272009,158.0584618,145.7481944,148.9461253,0
682,182.6890983,122.5213109,89.20941466,136.7197386,101.2113563,160.814122,10.61555219,132.2671908,182.6890983,144.8394109,147.8282345,155.7921955,0
953,187.4135127,131.2905849,109.299291,145.5872172,107.5384214,157.8666458,8.498748827,107.3554374,187.4135127,152.6800646,146.9048066,148.6248045,0
879,168.7461729,122.5078376,102.9237327,134.1228344,110.4122284,152.7363645,8.770648089,100.3277111,168.7461729,141.5086626,143.4328536,145.8455404,0
986,146.8601572,107.3297476,80.82892015,116.148945,108.078403,149.9582127,11.94290443,116.0217211,146.8601572,124.062681,140.3324369,149.0492346,0
930,137.461329,98.13400834,78.92435974,107.716583,111.7478942,149.2868204,9.818259168,111.5460733,137.461329,114.8064324,141.4174253,145.279418,0
841,169.9170654,118.3049026,92.32938076,130.786908,106.3109354,155.9577699,10.00187227,116.7954372,169.9170654,138.6135497,145.0946536,150.4305527,0
772,189.4141782,122.7667821,97.71377807,139.850424,104.2308588,163.3714763,7.732381749,123.2192726,189.4141782,147.7430423,151.3343287,152.4767379,0
785,136.5955635,95.16458705,67.37512379,104.4089919,107.1360665,150.9916815,11.98514557,130.5193108,136.5955635,112.4438503,141.489998,150.6260646,0
1073,159.846938,121.5772007,97.09457549,130.2365503,109.3041149,149.1747154,11.67363643,104.1835702,159.846938,137.7144133,139.6826401,147.339311,0
600,149.595132,108.0164553,82.43392184,117.5415667,108.2016627,150.9208091,11.31856359,116.0157696,149.595132,125.4191807,141.3385327,148.8900411,0
878,186.0698024,121.3134128,101.9527491,138.4750859,107.408183,161.9716495,6.847723368,116.0420425,186.0698024,145.921875,151.0845683,149.1176439,0
927,163.8569935,123.7421004,118.7762546,135.1565985,118.7257203,148.4953532,3.231412639,72.56424257,163.8569935,141.5728392,142.9579461,136.8880112,0
1018,189.1329434,135.7467865,110.6531268,148.8565136,106.4566724,156.7651646,9.59438186,108.3675982,189.1329434,155.6934575,145.3599076,149.7063114,0
1065,164.6629691,112.5125734,85.49970384,125.043401,105.7098702,156.2980992,10.1655269,124.3803242,164.6629691,132.7422325,145.4491411,151.316515,0
944,177.2041879,119.8158015,99.82727825,134.7170708,108.3344607,158.3458235,7.789959717,114.3763396,177.2041879,141.7868435,148.0928783,148.2196929,0
127,131.0013001,93.74934997,72.27119085,102.4711388,110.9716589,148.3915757,10.96359854,117.3094124,131.0013001,109.8161726,140.3543942,146.4217369,1
589,167.4069743,108.9824765,91.58371962,124.4922742,109.4584562,158.6598539,6.853771597,118.5405605,167.4069743,131.5664068,149.2617292,147.4210563,0
765,136.2396126,93.91128579,74.74382369,104.3860191,111.2724593,150.7588433,9.019651881,115.9550814,136.2396126,111.6798147,142.8829309,145.9292532,0
739,186.7520753,130.6465992,93.39016393,143.1850715,99.91552145,159.11594,11.91880014,128.5917684,186.7520753,151.3261946,145.3303802,156.7416812,0
823,193.0930713,131.5014083,111.0512612,147.6039932,107.4065845,160.4823183,7.444013269,108.7905114,193.0930713,154.6908681,149.343306,148.7892596,0
613,156.4259213,99.80963645,71.54195717,113.5357321,104.3244522,158.6494024,10.15625,140.9843127,156.4259213,121.9546813,147.8571962,153.7478835,0
745,117.3950392,80.81561189,61.71092468,89.57413825,112.2854277,147.9042495,10.16614992,123.3751596,117.3950392,96.37169433,140.8942185,145.4242203,0
1019,187.7881435,131.8226778,111.0110801,146.1816895,108.1710138,157.7082777,8.021472765,106.4054754,187.7881435,152.8369526,147.0106353,147.9203769,0
1008,135.6874214,100.927044,81.04811321,109.0415094,112.195283,147.0374214,10.75786164,105.5628931,135.6874214,116.2968553,139.3355346,144.7569182,0
1115,148.4776833,111.6113177,93.6402763,120.5908608,112.7659405,147.9357067,10.05047821,94.75876727,148.4776833,128.2229012,140.0488842,143.7871945,0
721,161.8093638,100.024858,83.42073241,116.6018658,109.2825356,160.2783637,6.54085062,126.1063854,161.8093638,123.9885271,151.056032,148.0174991,0
981,143.3331234,103.0043038,79.45289456,112.3969454,109.3904372,150.1060725,11.01574555,116.5534561,143.3331234,120.0219913,141.1993912,147.7737889,0
688,146.1505457,104.2931878,80.58788107,114.1011479,109.1039706,150.8624388,10.48541588,119.6471584,146.1505457,121.5688747,141.8730711,148.1744449,0
182,133.5378251,95.43380615,70.29432624,103.9680851,109.0082742,149.108747,11.78250591,121.8676123,133.5378251,111.7340426,140.2931442,148.4881797,1
803,179.4278649,132.5218849,102.3938722,143.1348909,105.0503638,153.9244543,11.75466121,111.2292519,179.4278649,150.7671669,142.2344247,151.3868804,0
726,172.855098,126.5164219,99.9904109,137.3700375,106.9379719,153.3309862,10.85037291,111.6898596,172.855098,144.5439385,142.6501135,149.6192616,0
842,181.3662386,123.8732334,107.3483033,139.1849487,110.0516536,158.1339407,6.66855585,104.5427936,181.3662386,146.2710381,148.3288615,146.1490064,0
1076,145.2927565,107.2551979,81.42354125,115.6999776,108.6581712,149.1553767,12.09467919,116.3439526,145.2927565,123.3555779,139.8689917,148.5403532,0
1043,144.0511749,97.21692162,74.36823845,108.6204857,108.6781265,153.3129633,9.754376281,125.7170005,144.0511749,116.1842769,144.3154865,148.8116228,0
13,169.9501577,130.365142,116.657571,140.6364353,114.4596215,148.9490536,7.402208202,83.31624606,169.9501577,147.4541009,141.3921136,141.4832808,1
576,142.7893756,99.62441752,76.24324324,109.8667288,109.0223672,151.5246971,10.03448276,119.3280522,142.7893756,117.5312209,142.5675676,148.1863933,0
1028,183.8332236,127.726086,97.91063332,141.0958754,103.6302472,158.5153576,10.30510458,122.1610721,183.8332236,148.3716177,146.2625055,152.9516967,0
892,165.4599431,118.1517849,97.24671928,129.9293384,109.5619895,153.3768927,9.001927136,106.6876663,165.4599431,137.1626594,143.8875837,146.8911168,0
1097,163.371328,120.9785933,100.155778,131.2864424,110.4424984,150.9344824,9.469650635,100.8377351,163.371328,138.5343342,141.8749884,145.969697,0
819,184.477909,139.3498948,115.1954469,150.10417,108.326644,152.5597454,10.48583913,96.66828505,184.477909,157.3077089,141.9871069,147.6467605,0
594,173.1723404,119.5478182,87.42711864,131.9387667,102.9040389,157.4569419,11.16949153,127.5216012,173.1723404,140.1734583,145.3948071,154.1428417,0
853,192.83769,147.3757599,131.5069149,159.1666413,112.3920973,152.0528116,7.712993921,81.54931611,192.83769,165.5396657,142.9072188,143.0306231,0
12,150.4481489,109.1675687,88.59828967,119.1803421,110.7494046,150.3446633,9.895648409,108.5644079,150.4481489,126.4104785,141.7431262,146.0759905,1
695,164.8044413,107.0954727,79.70505904,121.2466964,104.5735007,159.1006334,9.581085308,133.2552975,164.8044413,129.2756666,148.0076628,152.8361092,0
674,153.3848157,103.0454355,82.91374822,115.8044008,109.4421769,154.8537835,8.678592425,120.4850088,153.3848157,122.9406232,145.7676997,147.6502058,0
934,190.6984977,137.6997064,102.9184942,149.5896218,101.6846831,157.3620273,11.80970471,118.2296667,190.6984977,157.4285098,144.079779,154.6660335,0
875,173.6456818,130.568876,107.3932405,140.8198629,109.131311,151.4240598,10.54588268,97.65738625,173.6456818,148.4094466,141.4296004,147.0589376,0
810,135.7779012,102.2176569,86.01610217,110.3908939,114.2165464,146.1710161,9.484175458,94.61632426,135.7779012,117.8417546,139.1676846,142.4319822,0
99,117.0357866,79.1667792,74.41796084,89.93923025,119.2478055,147.3450371,3.172856178,94.46252532,117.0357866,95.84064821,143.3268062,137.2849426,1
164,150.5275834,105.415809,79.67414574,115.9781803,107.5317003,152.6947303,10.39872375,122.2616303,150.5275834,123.4156031,142.9456566,149.6220667,1
612,130.3060032,81.12352623,58.17998918,93.23299081,108.2360195,154.4762574,9.587128177,142.4315846,130.3060032,100.7734992,146.0282315,150.0648999,0
918,161.8773956,115.6975544,96.49151449,127.3300639,110.5954056,152.676518,8.765373943,105.2295928,161.8773956,134.5650126,143.7055559,145.8983674,0
604,153.1702979,111.0386839,85.63717208,120.7505558,108.2098711,151.1396176,11.09470876,115.0377946,153.1702979,128.4797688,141.4988884,148.7972432,0
854,192.5514206,147.0356809,130.4976657,158.7663065,112.0536214,152.1278511,7.970855009,82.65686275,192.5514206,165.1522609,142.8418034,143.3893557,0
163,138.7566448,100.4138764,80.4031757,109.6051087,111.5298585,148.8536417,9.971349672,107.7269589,138.7566448,117.035554,140.8146358,145.4283742,1
74,142.563042,109.8805871,88.83822548,117.2401601,111.9166111,146.1097398,11.75550367,96.64042695,142.563042,125.1200801,137.8659106,144.7711808,1
154,166.8662471,119.3994694,90.98500833,130.376766,105.7901783,154.074218,11.2266025,119.0522549,166.8662471,138.0972299,143.151274,151.1022272,1
686,135.4486425,92.7624989,65.0789913,102.384149,106.997364,151.5776294,11.67964151,134.711361,135.4486425,110.1416396,142.1716897,150.8970214,0
4,131.9586576,98.57782101,78.1536965,106.2728599,112.1629377,146.368677,11.39542802,108.2169261,131.9586576,113.5014591,138.7203307,144.9766537,1
976,144.7840311,100.8448387,81.87043711,111.8343961,111.1113575,151.5421865,8.81267905,112.4474633,144.7840311,119.1772479,143.3427594,145.8802329,0
572,169.9446565,120.0955471,94.31412214,132.0620865,106.7139949,155.047201,9.977608142,115.21743,169.9446565,139.8753181,144.4188295,150.0391858,0
710,163.0146991,108.9400018,81.60220024,122.0074882,105.2231672,157.2935195,9.742072663,128.0604604,163.0146991,129.945826,146.4179532,151.9608024,0
922,162.0178758,125.6106772,109.5250825,134.6464289,113.8218053,147.5237942,9.136001288,84.43860214,162.0178758,141.8445124,139.8296159,142.2841614,0
161,135.1159247,96.47445474,77.98834777,105.9291903,112.2467882,148.8724231,9.286824022,108.5894831,135.1159247,113.1717956,141.2677024,144.7439498,1
177,135.2229468,95.77318117,72.95312818,104.9763603,109.9430406,149.6052578,10.80211942,120.3261667,135.2229468,112.2982474,141.1677196,147.4580192,1
774,181.1127232,121.6100543,90.12213703,135.832929,102.2308812,160.3357434,10.32671778,129.2705745,181.1127232,144.1089868,147.7799398,154.768585,0
168,135.6062161,91.80382093,60.14485315,101.3062447,104.7832906,152.5058455,12.49729113,143.6660964,135.6062161,109.132592,142.2629028,153.3062447,1
18,143.4050445,97.17136499,72.46550445,108.1928783,107.8568249,153.1565282,10.42136499,129.7978487,143.4050445,115.8664688,143.9488131,149.8382789,1
756,119.486054,75.67421125,61.16563786,87.1303155,113.3372199,151.1321445,7.195130316,127.8223594,119.486054,93.29869684,144.8862597,144.3702561,0
766,184.7208449,123.2409023,94.99361566,138.4098212,103.5165993,161.0613428,9.244998936,123.8557672,184.7208449,146.2244627,148.7913918,153.1973824,0
769,166.9874696,107.2273742,89.84862013,123.1193689,109.2255479,159.3302557,6.216720779,117.2685674,166.9874696,130.5667614,149.8904728,147.6094765,0
722,168.3214644,123.679347,103.9038232,134.7768126,110.5803542,151.9736528,9.246527612,100.450241,168.3214644,141.7697007,142.7565271,145.7004916,0
582,155.6065132,112.0702976,93.76103313,123.001123,111.5040988,151.2895564,8.800449186,103.2158338,155.6065132,130.2848961,142.8374509,145.0400337,0
1033,186.8597649,130.3392414,118.6817086,145.9143461,112.6274612,157.2325262,5.068560199,94.40487226,186.8597649,152.4458082,148.4047239,143.2506582,0
39,131.9032258,88.55947581,79.61995968,100.484879,116.2449597,150.4284274,4.587701613,101.7066532,131.9032258,107.1108871,144.8125,140.4677419,1
707,122.1378159,83.6468288,65.79856938,93.13743443,112.5697663,148.7319981,9.451502146,120.483834,122.1378159,99.94783023,141.763567,144.9370529,0
571,194.9957729,131.2403176,109.9455615,147.8872387,106.5947104,161.6294985,7.395064549,112.9304239,194.9957729,154.7716212,150.1673712,149.6767965,0
717,153.664159,95.98697151,81.18550895,111.5456838,110.8748424,158.07981,6.205682105,122.2814995,153.664159,118.8376061,149.7294696,146.3613516,0
856,166.3604986,126.3204698,110.1499281,136.4569751,113.1457335,149.3944151,8.305488974,87.29314477,166.3604986,143.6444151,141.238255,142.8552253,0
773,181.7118688,122.8341728,90.90382711,136.8107968,102.1161049,160.0623789,10.5330406,128.8462697,181.7118688,144.8888458,147.3663524,154.7988721,0
49,110.7219361,74.246138,68.53347065,84.45314109,118.9979403,146.7239959,3.950566426,98.44799176,110.7219361,90.29454171,142.7548919,137.7548919,1
115,141.9700072,98.58512931,71.22270115,108.4594109,107.0010776,151.9225934,11.40625,129.450431,141.9700072,116.3451868,142.2737069,150.6063218,1
113,153.6814786,102.8259918,71.31916538,114.451829,103.6781298,156.011592,11.36604843,138.2952087,153.6814786,122.923493,144.946033,154.0833333,1
1035,170.1555973,124.3531956,109.1367594,136.3169427,112.6589266,152.1665813,7.543281543,92.93950259,170.1555973,143.3925787,143.8081498,143.4270104,0
947,127.0996922,87.05352603,69.48989696,97.03613007,112.4549712,149.5035461,9.036263883,116.2579955,127.0996922,104.1651278,142.2954637,144.8594942,0
799,186.8965602,135.6506826,106.0285756,147.6057641,104.5389734,156.071488,10.87899398,111.0510838,186.8965602,155.1332387,143.949748,151.6636003,0
902,159.5308134,116.1449233,98.05618473,127.062166,111.6373486,151.1991469,8.840613816,101.3406874,159.5308134,134.1246262,142.6697063,144.8038927,0
998,163.2264526,121.6600123,115.2427111,133.3349112,117.8159429,149.3322357,4.001509227,76.09295465,163.2264526,140.0002744,143.3110379,137.9225492,0
118,134.1007778,92.95705107,70.7788299,102.7588772,109.958742,150.3916131,10.3814677,123.4125803,134.1007778,110.0757525,142.0652689,147.5441326,1
124,152.52462,109.8370794,91.01598025,120.4648564,111.3791087,150.9129531,8.715733403,103.2267117,152.52462,127.7734182,142.5039626,145.1582435,1
197,183.0327998,128.6619377,95.73517643,141.1758821,102.3571602,157.8911119,11.17266885,123.0070935,183.0327998,149.1265915,145.2146841,154.2813144,1
141,130.0691283,90.3006663,68.90755136,99.76832315,110.5991116,149.6690727,10.523598,121.4504442,130.0691283,107.2019711,141.6020267,146.9700167,1
591,146.1754979,101.4287325,74.06764374,111.7089708,106.7882107,152.6308047,11.37375852,129.1385086,146.1754979,119.2699307,142.7236807,150.7091856,0
78,161.2917104,127.7460651,109.6358867,135.6873033,113.3022036,146.2780693,10.40083945,83.82266527,161.2917104,143.0209864,138.2833158,142.8541448,1
1004,166.7412229,124.8565417,100.9328074,134.6661407,108.9673899,150.9379356,10.86916502,103.5289941,166.7412229,142.0639053,141.1279421,147.495595,0
588,180.9537788,119.4584353,108.8257156,136.6535771,112.2948371,159.6457234,4.443371529,103.9688425,180.9537788,143.4188232,150.8716793,143.9533496,0
610,123.0296167,86.90603949,64.81695703,95.19651568,110.8645761,147.9163763,11.46097561,125.3783972,123.0296167,102.2955865,140.1653891,146.9092915,0
158,123.7218787,76.41099855,56.2414156,88.27549007,109.9482963,153.3221944,8.895145376,140.2160242,123.7218787,95.41534009,145.7220103,148.3165373,1
125,150.0556507,107.6481164,89.17343444,118.2331213,111.5916096,150.7504892,8.662181996,104.0338796,150.0556507,125.5129648,142.5264188,144.9974315,1
700,153.1674714,107.2702503,79.76675207,117.8777099,106.5170477,153.2243299,11.04493496,123.9559519,153.1674714,125.5678952,142.9901951,150.6856031,0
783,137.7861623,99.28264588,95.00304125,110.2645885,119.3105873,147.6236457,2.908382437,80.65614902,137.7861623,117.0041817,143.004942,136.7352214,0
27,180.736798,141.5666387,120.3206203,150.8629505,110.7799665,149.3294216,10.24643755,86.80008382,180.736798,157.9518022,139.8813915,145.0968148,1
132,148.6945475,109.9449184,87.54877596,118.9805267,110.2581602,149.2565838,10.85515579,107.9485349,148.6945475,126.3375371,140.4301743,146.5798405,1
80,149.9368308,116.748394,99.42184154,124.7044968,113.7248394,146.0171306,10.14882227,87.13811563,149.9368308,132.2944325,138.4475375,142.5845824,1
683,171.8885721,109.0416027,75.22380639,123.9803319,100.4995979,162.1822768,10.35504862,143.6969365,171.8885721,132.5658405,149.449002,157.0742122,0
1085,152.4847799,113.8897573,89.3712464,122.6433566,109.2313863,149.3296997,11.67955574,108.650761,152.4847799,130.2739613,139.9849856,147.6626903,0
789,142.1646247,105.9590707,83.90915691,114.2822398,110.8617842,147.952355,11.34494963,106.523641,142.1646247,121.9803067,139.4887013,146.0668845,0
173,134.8275507,87.84919272,68.87804878,99.73239437,110.5953281,153.0539334,8.81999313,124.4857437,134.8275507,106.7526623,144.95809,146.9165235,1
956,175.2385253,128.2106084,105.4280319,139.6892191,108.703506,153.3879629,9.658838985,102.4736842,175.2385253,146.9287298,143.2137285,147.5112899,0
655,146.3918093,97.5169621,68.05883252,108.7793399,105.0420232,154.8448961,11.23624694,139.4653117,146.3918093,116.5924511,144.4373472,152.7944682,0
906,175.418469,131.2332235,115.2258423,142.6370888,112.5302195,151.4220406,7.743839041,89.70459145,175.418469,149.3387436,142.8552324,143.354141,0
1063,170.2045488,122.6058694,92.47674248,133.4227439,104.9123991,154.277036,11.58361458,119.6733676,170.2045488,140.8314502,142.8264612,151.8174615,0
24,161.5988539,119.8037249,95.80515759,129.5716332,108.9527221,150.8696275,10.76361032,107.3395415,161.5988539,137.1661891,141.3051576,147.7951289,1
59,160.8606929,121.8602543,97.77576378,130.7934512,109.3578424,149.5034352,11.20143254,100.8071919,160.8606929,138.5154217,139.9317351,147.0973542,1
798,171.4015849,125.3248751,95.22642099,135.6891396,105.1882417,153.5111259,11.71568551,114.2501562,171.4015849,143.5877186,142.1023969,151.4291849,0
94,144.789371,101.8690882,75.45002438,111.7120917,107.5621648,151.627255,11.34300341,125.7520722,144.789371,119.2474403,142.0621648,149.887372,1
915,157.0589073,114.4488122,96.39469037,125.1366148,111.7823164,150.8252151,9.005754002,100.788868,157.0589073,132.4171936,142.4214664,144.7493876,0
137,122.9863503,74.22973541,63.41411172,87.5850483,114.3769425,153.2803444,5.422931541,125.6222176,122.9863503,94.15959681,147.4771105,143.3740025,1
624,164.5112592,119.1245836,91.81745503,129.6003997,106.691006,152.9356429,11.23704197,116.0349101,164.5112592,137.1946702,142.4011992,150.1487009,0
908,169.5575179,124.5268417,108.1285672,136.1317381,112.2090185,151.8758204,7.835373498,96.32999041,169.5575179,142.7727306,143.4032151,143.9739326,0
941,144.7010157,104.1718765,87.20984124,114.3698846,112.6594024,149.6867173,8.743417809,105.1459422,144.7010157,121.4898925,142.1014693,144.1389409,0
669,162.1924001,111.2994163,104.4575941,125.7529472,115.976651,154.0349662,3.510758842,92.37947808,162.1924001,132.2163214,147.3110335,140.0139636,0
736,178.596699,121.5843797,86.62141673,134.6589276,100.8915739,159.3834005,11.34020374,132.3560768,178.596699,143.0393272,146.3613678,156.1253258,0
940,179.2421809,124.7522542,105.0793886,138.8061426,108.9773176,156.8796844,7.921527191,106.254931,179.2421809,146.0034517,146.7260496,147.2478867,0
602,178.7415019,124.6421353,93.29984043,137.2596103,103.2205889,157.6352691,10.99269861,124.8076012,178.7415019,145.0467095,145.4503651,153.6374934,0
971,166.8926675,113.6054362,86.29001264,126.4274336,105.369153,156.9029077,10.10644753,123.3726928,166.8926675,134.4391909,145.8273072,151.6247788,0
794,148.6750617,106.6421669,82.45394737,116.4772821,108.8116776,151.0228207,10.77590461,114.8715049,148.6750617,124.265625,141.6944901,148.2235814,0
1026,155.0703636,107.1938164,85.87011058,119.0764153,109.2673158,153.7299884,9.193816361,115.9365682,155.0703636,126.4488639,144.4601419,147.6570391,0
1052,161.4030676,117.9827446,92.30550844,128.0601726,107.8271514,151.8444068,10.9227933,110.5341052,161.4030676,135.7391048,141.7389573,148.8326082,0
735,178.3058326,124.4692644,100.4751609,137.8524397,106.9268832,156.8978429,9.229472753,113.3387549,178.3058326,145.2636234,146.0691858,149.6133851,0
83,139.7723378,98.13610771,83.04822521,108.8851897,113.4183599,150.078825,7.939045288,105.0917993,139.7723378,116.1375765,142.9003672,143.4886169,1
172,121.2928316,79.02375447,59.12781165,89.40025226,110.9299979,150.7933572,9.513769182,133.2812697,121.2928316,96.3193189,143.4366197,147.0878705,1
566,156.5173763,117.4651723,109.0150444,128.1686475,117.132541,148.2640289,5.30133895,79.80652926,156.5173763,134.8802467,142.16609,138.7293516,0
694,187.5584254,123.1753503,97.95305234,139.5593436,104.5461627,162.2635882,8.257131009,122.777939,187.5584254,147.1984538,150.2919345,152.1294985,0
793,138.5034695,102.4718581,82.37856592,110.9557954,111.8591622,147.693138,10.69956309,104.2816757,138.5034695,118.6011308,139.6962221,145.0203033,0
56,168.9420882,131.2459547,107.9506047,139.8848578,109.9652529,148.7923693,11.23675694,92.23658661,168.9420882,147.5556123,139.2268779,146.1883836,1
653,154.7252877,102.3236943,69.02331071,114.1982886,102.5010328,156.9412806,11.50044261,142.5234582,154.7252877,122.2927117,145.3514311,155.2018294,0
133,133.1718596,93.93112496,71.48901279,103.1374221,110.1475894,149.4660544,10.93702853,123.7966546,133.1718596,110.3548704,141.2800918,147.4552312,1
142,112.8183054,66.30312642,56.95831445,79.16266425,115.46715,152.04599,5.007929316,128.1690077,112.8183054,85.21454463,147.0387404,142.4111917,1
7,140.7088088,85.9112404,65.88811815,100.0201387,108.7525173,157.0554188,7.938763333,136.4985455,140.7088088,107.626613,148.4976505,149.2406206,1
61,152.6685609,112.9457947,93.04021682,122.5683686,111.3140409,149.5213324,9.84140584,102.7552894,152.6685609,129.5994055,141.0768491,145.2349187,1
117,116.8386758,76.00805745,57.96829567,86.18111753,112.0775968,149.9281836,9.023646873,131.1637765,116.8386758,92.76177965,143.1087756,145.8372745,1
987,140.4849099,103.9118898,90.78083857,113.3406927,115.2363784,147.4113834,7.87887381,91.84018635,140.4849099,120.4034839,140.7994734,141.1634596,0
1039,158.4707985,118.1863068,100.2376564,128.1992852,112.2211982,149.6650992,9.348349478,97.44032728,158.4707985,135.3053701,141.3960312,144.2572181,0
20,136.8272591,93.24238642,70.45856216,103.6877184,109.2725911,151.6737394,10.27433849,127.7116825,136.8272591,111.1165751,143.1744883,148.4331003,1
155,163.0759775,107.2828441,80.60852377,120.9345825,105.2602621,158.0981263,9.692570129,131.1984187,163.0759775,128.675945,147.2156396,152.0585942,1
35,131.1077471,94.46927872,77.70703473,103.5218166,113.4390027,147.6936776,8.645592164,109.6411398,131.1077471,109.9465717,140.8352627,143.5814782,1
